,Gender,Age,EstimatedSalary,Purchased
0,Male,49,131217,1
1,Female,56,92991,1
2,Male,49,24014,0
3,Male,21,31093,0
4,Male,47,38070,0
5,Female,54,55777,1
6,Male,40,76958,1
7,Male,56,102074,1
8,Male,32,30729,1
9,Female,46,119713,1
10,Male,53,65017,1
11,Male,30,86320,1
12,Male,49,47751,1
13,Male,24,126400,0
14,Female,39,125864,1
15,Male,45,98069,1
16,Female,19,125647,0
17,Female,59,125510,1
18,Female,23,74748,0
19,Male,NULL,25801,0
20,Female,,39190,0
21,Male,37,69689,1
22,Female,47,124290,1
23,Female,28,70993,0
24,Female,45,49592,1
25,Female,42,30647,0
26,Female,56,28716,1
27,Female,50,108891,1
28,Female,18,107545,0
29,Female,44,137638,1
30,Male,30,109912,0
31,Male,58,130627,1
32,Female,20,90316,0
33,Female,56,146995,1
34,Female,23,22368,0
35,Male,25,97575,1
36,Female,44,26655,0
37,Male,26,126477,1
38,Male,54,90031,1
39,Male,50,96429,1
40,Male,59,111083,1
41,Male,41,107922,1
42,Female,32,75766,0
43,,49,144046,1
44,Female,49,33403,0
45,Female,41,52097,1
46,Female,58,98657,1
47,Male,29,140607,0
48,Female,56,30966,0
49,Female,19,144862,0
50,Male,20,119157,0
51,Female,54,138834,1
52,Male,34,113848,1
53,Female,19,72921,0
54,Male,19,69726,0
55,Female,45,146141,1
56,Female,40,70300,1
57,Male,54,42677,0
58,Male,49,75609,1
59,Male,50,116825,1
60,Male,18,76661,1
61,Male,36,51024,0
62,Male,19,128211,0
63,Male,43,90313,1
64,Male,49,147813,1
65,Female,23,73006,1
66,Female,49,115285,1
67,Male,21,35338,0
68,Female,28,88027,1
69,Female,34,112772,0
70,Female,55,133632,1
71,Female,41,100135,1
72,Male,22,39508,0
73,Female,51,140379,1
74,Male,23,23051,0
75,Female,39,68747,0
76,Female,28,134692,0
77,Female,33,107142,0
78,Male,50,107235,1
79,Female,26,74021,0
80,Male,23,86412,0
81,Female,33,78335,0
82,Male,46,76179,1
83,Female,20,52093,0
84,Male,37,89678,1
85,Male,53,100738,1
86,Female,36,59734,1
87,Male,43,92615,1
88,Female,20,93523,1
89,Female,36,125103,1
90,Female,37,114476,1
91,Female,49,122769,1
92,Female,24,37019,0
93,Female,58,131721,1
94,Female,50,103613,1
95,Female,57,111794,1
96,Female,56,106672,1
97,Female,35,93847,0
98,Female,57,102750,1
99,Male,18,99634,1
100,Male,28,48251,1
101,Female,45,123481,1
102,Female,42,132566,1
103,Female,40,45945,0
104,Female,48,110852,1
105,Female,47,52217,0
106,Female,59,28308,0
107,Female,52,25949,0
108,Female,24,71990,1
109,Male,33,21150,0
110,Female,43,109480,1
111,Male,19,120235,0
112,Female,18,94740,1
113,Female,29,136352,1
114,Male,22,86617,0
115,Female,54,114841,1
116,Male,49,36896,1
117,Female,26,145729,1
118,Female,58,66175,1
119,Male,52,27805,0
120,Female,36,25237,1
121,Male,33,135247,0
122,Female,20,40056,1
123,Male,37,65543,1
124,Male,41,76556,1
125,Female,50,134548,1
126,Female,41,131488,1
127,Male,28,23343,1
128,Female,25,33500,1
129,Female,53,73222,1
130,Female,55,49375,1
131,Male,57,29662,1
132,Male,37,36964,0
133,Male,52,133429,1
134,Male,42,141692,1
135,Male,52,79638,1
136,Male,42,93666,1
137,Male,46,105067,1
138,Male,35,138937,0
139,Male,35,87215,0
140,Female,19,89042,1
141,Male,52,33284,0
142,Female,33,92789,0
143,Female,58,104664,1
144,Female,53,113468,1
145,Male,50,81389,1
146,Male,21,29435,0
147,Male,50,74340,1
148,Male,31,64078,0
149,Female,38,98832,1
150,Male,37,71293,1
151,Male,25,115981,0
152,Male,24,98781,1
153,Male,20,80403,1
154,Male,34,49124,0
155,Female,50,115435,1
156,Male,29,63919,1
157,Female,39,128761,1
158,Male,39,141305,1
159,Female,47,55247,0
160,Male,55,141172,1
161,Male,55,114758,1
162,Female,25,111747,0
163,Female,44,82752,1
164,Female,44,76573,1
165,Male,51,79101,1
166,Female,38,122756,1
167,Male,47,46646,1
168,Male,50,124185,1
169,Female,45,43049,0
170,Female,50,99605,1
171,Male,22,118116,0
172,Male,36,117379,1
173,Female,21,88385,1
174,Female,52,146131,1
175,Female,34,60158,0
176,Male,45,85417,1
177,Male,47,43289,0
178,Male,46,130226,1
179,Male,23,120793,0
180,Male,52,29823,0
181,Male,58,80160,1
182,Female,54,61975,0
183,Male,41,29540,0
184,Male,46,36364,1
185,Male,48,24611,1
186,Female,52,47663,1
187,Male,50,71991,1
188,Male,38,77679,1
189,Female,49,124182,1
190,Male,40,50977,1
191,Male,50,114704,1
192,Male,20,69115,1
193,Male,35,111007,0
194,Male,42,108223,1
195,Female,59,80890,1
196,Female,48,86387,1
197,Female,20,38071,0
198,Male,57,79275,1
199,Male,41,92369,1
