year_bought,km_driven,transmission,owner,selling_price
2011.0,159736.0,Manual,Third,4928.821781691517
2019.0,72172.0,Automatic,Third,12699.765188113886
2015.0,98264.0,Automatic,First,9492.131131769354
2012.0,31736.0,Automatic,First,9914.594541621955
2011.0,117859.0,Manual,First,6767.338316374555
,117181.0,Automatic,Second,9931.673249668222
2015.0,136926.0,Manual,Second,7750.464294277153
2008.0,95084.0,Automatic,First,6894.384233225875
2012.0,174695.0,Manual,Third,4061.6721569439674
2007.0,12392.0,Automatic,Second,6412.392921489092
2006.0,,Manual,Second,2446.938403366269
2016.0,182789.0,Manual,Second,6060.732473805238
2010.0,55859.0,Automatic,First,9069.021966129376
2006.0,130657.0,Manual,First,3453.1568206859947
2005.0,162381.0,Manual,First,2596.7305574990673
2016.0,199806.0,Automatic,First,
2016.0,75467.0,Manual,First,10236.166901281384
2021.0,188734.0,Manual,Third,6763.563343964278
2014.0,103506.0,Manual,Third,6719.762811537126
2020.0,114751.0,Automatic,First,11817.755043651185
2019.0,123906.0,Manual,Unknown,7378.594752788242
2019.0,148760.0,Automatic,First,11894.27795204087
2016.0,30342.0,Manual,Third,8729.294736537031
2007.0,173229.0,Manual,Third,3396.1980541191656
2009.0,111308.0,Manual,Second,5852.092114822463
2011.0,-5000.0,Automatic,Third,3357.4321597532426
2013.0,111081.0,Manual,First,6786.660021344421
2011.0,94045.0,Manual,Second,4547.123145549555
2022.0,39698.0,Automatic,First,12919.576381573666
2008.0,115078.0,Manual,First,4576.262825049003
??,85623.0,Automatic,Second,11831.287209685763
2022.0,27671.0,Automatic,First,12831.672630390478
2013.0,161256.0,Manual,Third,5626.824467564685
2006.0,98384.0,Automatic,First,6100.659454305004
2019.0,178179.0,Manual,Second,8591.112794223629
2011.0,91202.0,Automatic,Second,7509.133364744353
2016.0,56663.0,Automatic,Second,8862.518211452867
2012.0,20708.0,Manual,First,9647.411841297597
2019.0,96906.0,Automatic,Second,10112.621818458929
2007.0,54811.0,Automatic,Second,3044.5866379214513
2018.0,138883.0,Automatic,First,10579.752947756371
2021.0,61250.0,Automatic,Third,10930.892267591253
2008.0,117547.0,Automatic,First,7307.8766333327285
2022.0,129249.0,Manual,Second,10228.673483834082
2012.0,39754.0,Automatic,Second,8350.527839925595
2008.0,147483.0,Manual,First,4739.519576144539
2006.0,138983.0,Automatic,Third,2452.939362116621
2010.0,144752.0,Manual,Second,4101.118882570001
2014.0,89896.0,Manual,Second,8145.654022780344
2008.0,76295.0,Automatic,Second,4507.778521760032
2022.0,105689.0,Automatic,First,12484.4065574724
2016.0,16111.0,Automatic,Second,9810.668945399035
2006.0,42504.0,Manual,Third,5086.674672549553
2014.0,137874.0,Automatic,Second,6640.82002299217
2008.0,13155.0,Manual,Second,5693.61674128292
2018.0,44384.0,Manual,Third,9011.715318750415
2020.0,117561.0,Manual,Second,9440.602046725211
2019.0,52254.0,Automatic,First,12017.490533523218
2012.0,26918.0,Automatic,First,10224.364313641117
2018.0,90981.0,Manual,First,9439.529846720105
2012.0,196785.0,Manual,Third,2211.8494450900034
2020.0,35306.0,Automatic,Second,11835.45963056724
2017.0,152718.0,Manual,First,7947.4047819684665
2022.0,51843.0,Automatic,Third,11125.295176191621
2019.0,125975.0,Manual,Second,8757.127200996798
2017.0,101601.0,Automatic,Third,7307.862579443667
2013.0,112512.0,Manual,First,9277.50762743426
2019.0,152443.0,Automatic,First,9258.538635584306
2017.0,116472.0,Manual,First,8824.26050069925
2005.0,138121.0,Automatic,Third,1834.025043153089
2011.0,167688.0,Automatic,Third,6330.924964605621
2013.0,108727.0,Manual,First,5895.144689575822
2005.0,117893.0,Manual,Third,1784.190091917568
2016.0,25932.0,Automatic,First,12818.518464944626
2012.0,122796.0,Manual,First,6534.336896517395
2015.0,34855.0,Automatic,Second,8733.08296782899
2021.0,197506.0,Manual,Third,7941.895035646942
2012.0,179088.0,Automatic,First,8245.341259892477
2007.0,12400.0,Automatic,First,6936.214155232288
2007.0,122858.0,Automatic,Third,4979.023468077766
2005.0,178714.0,Automatic,Second,2284.386912010217
2009.0,20151.0,Automatic,Second,8429.494211736252
2014.0,187479.0,Automatic,First,7769.103092276141
2011.0,71690.0,Manual,Third,5081.824308030697
2013.0,9499.0,Manual,Second,10048.879986373953
2011.0,11295.0,Manual,Third,6999.335352805604
2013.0,125885.0,Automatic,Third,6648.729535803161
2012.0,131071.0,Automatic,First,8486.13563160543
2016.0,64040.0,Automatic,Second,10743.352383085536
2006.0,17183.0,Automatic,First,7769.196464238099
2005.0,165371.0,Manual,Second,-58.14195294150659
2020.0,148946.0,Manual,Second,8483.844467924122
2009.0,121336.0,Automatic,Second,4516.751048531183
2007.0,37711.0,Manual,Second,4066.6997707521246
2016.0,10539.0,Manual,Second,9017.11623459644
2012.0,189423.0,Automatic,Third,4040.5160888493047
2007.0,197339.0,Manual,First,3189.168742854161
2005.0,184426.0,Automatic,Third,1805.8892872498293
2007.0,131063.0,Manual,Second,2977.104033355902
2009.0,138629.0,Automatic,First,5601.38766143558
2019.0,43360.0,Automatic,Second,13008.26324865362
2018.0,138272.0,Automatic,First,10442.993939350165
2007.0,183047.0,Automatic,Third,3276.132520315178
2005.0,26357.0,Manual,First,4703.533869451222
2009.0,124121.0,Automatic,First,6731.292799952074
2018.0,82505.0,Automatic,First,12991.988504305915
2011.0,7869.0,Automatic,First,7033.831990315623
2013.0,197207.0,Manual,First,5200.774716175923
2019.0,55108.0,Automatic,Second,12091.582175841211
2019.0,117296.0,Manual,First,11666.895073682685
2014.0,99179.0,Automatic,First,9519.533547946507
2017.0,95272.0,Manual,Third,8144.132729299404
2011.0,43467.0,Manual,First,9541.2384632233
2021.0,28328.0,Automatic,Third,13707.43339058882
2008.0,96412.0,Manual,Second,3303.178062952301
2009.0,140059.0,Automatic,First,6115.230980120757
2011.0,63871.0,Automatic,Third,7082.749002135515
2017.0,158471.0,Automatic,Third,9549.179374013685
2019.0,133391.0,Manual,Second,9798.250516042799
2015.0,182286.0,Manual,First,7050.703900098376
2008.0,91416.0,Automatic,First,6691.754328803621
2017.0,75271.0,Automatic,Third,7610.696510766106
2011.0,49064.0,Manual,First,8787.348484627346
2006.0,112450.0,Automatic,Third,3896.7327887232477
2014.0,176890.0,Automatic,First,8974.356433225103
2017.0,181597.0,Automatic,Third,7224.0107017254795
2010.0,24830.0,Manual,First,7931.44106855846
2016.0,153501.0,Manual,Second,6548.641650720274
2016.0,142965.0,Manual,First,7292.6450938442595
2015.0,121381.0,Automatic,First,8770.123797117825
2011.0,52333.0,Automatic,Second,5734.039550470071
2005.0,139508.0,Automatic,First,4924.445515594084
2005.0,81213.0,Manual,Second,800.8574973469031
2017.0,141967.0,Automatic,First,11992.80252595922
2013.0,155810.0,Automatic,Third,4119.673100699918
2007.0,35746.0,Automatic,Third,6784.968675675197
2011.0,54377.0,Automatic,First,7804.405956429561
2010.0,184476.0,Manual,First,5171.51306747106
2012.0,59045.0,Manual,First,7366.653299673131
2013.0,102888.0,Automatic,Third,8615.988159391383
2009.0,175862.0,Manual,First,4326.462668084274
2005.0,112455.0,Manual,Third,2824.582012098753
2014.0,141672.0,Automatic,Second,7342.608039896385
2016.0,98179.0,Automatic,Third,8889.379975538903
2019.0,176836.0,Manual,Third,8079.386654019749
2013.0,50714.0,Automatic,Second,8056.996014500297
2021.0,192907.0,Manual,Third,6861.5688717647445
2021.0,107946.0,Automatic,First,11339.476674258
2016.0,114616.0,Manual,First,9058.522569136156
2011.0,110983.0,Automatic,Third,5291.69991461192
2011.0,159736.0,Manual,Third,4928.821781691517
